channel_id,subscribers,total_views,video_count
UCgJ5_1F6yJhYLnyMszUdmUg,45600000,33651092463,738
UCKurfmpbeeo32EfC8sHaMyA,2450000,1049892336,119
UCYFPzRnPm4GuoDU1N4NkHzQ,11200000,5222328807,745
UCrFBMpfAfSUDadcOBzwP0pw,23400000,13542463359,1679
UC5Y1pPVNm-odhiubuRO1D6A,12900000,7057253205,924
UCa43NrBoxm_RnwLDdnh-KdA,5480000,2887430432,1205
UCUbslKd64OsMpBKhGJTNegg,1370000,489983773,130
UC5apxzE3aEOpvP0XkeuW8mw,30700000,16295802697,608
UC56dNUTok1pgvpY75CsJQ4Q,40200000,18139053406,791
UCW-V3lJDUSz_AccP6rPRUtA,10700000,5994673257,362
UCRqs0TZOqe5nrwP-BrdnCjg,28500000,12796538986,763
UCQPTbtadNWcPYuoS3JqkpYw,3310000,2002248456,323
UCzEAWIWMigRBbulQ6yVlilg,43100000,27798876613,1274
UCL5nlHWXVLeOsSjKH2fhmsg,68400000,60653441132,3010
UCuwJoiGWRxPYStBp0l0WuZw,17100000,14905972809,1518
UC6ylikHBX9_es8TIf0vmiUQ,14100000,11784268093,661
UCVPP_lAuPWl_tBZ8R7rQPxQ,10700000,5510213424,647
UCVb7uI1uABY4teAN8i1Ir4g,12600000,7603213341,2778
UCl1oiiVVTQkD2zq8beALVjA,22500000,10990837282,1397
UC7wWPuKgh4VzRlrQyt0tBag,380000,128511028,337
UC4DLvb5xZ9OLcVM1KC_R97g,38800000,16550265027,893
UCWuBZJIucBpe-SCWUBuKUlg,5380000,2553323888,429
UCDHL1oPWMahHYTLADLrFqlg,12100000,3228641020,594
UCSbvlcLFtW2CieYrVZFke1A,2880000,1286016259,950
UCkHHRGuPLTSTbZTt-2TGB9Q,4990000,2115840978,334
UCKKeYjyawCvlt3EuhfxVwmQ,15100000,6496320888,2416
UCNoiFheeg1nzhWmFwGbtyYQ,6210000,3778904965,631
UCWWwXggCAv3pm7gR-i88P2Q,1090000,504630682,415
UCXTyWqKtLLzaom6XwaJu7xw,22100000,13036202912,1322
UCglXlpWjIi95auM3umWWLdw,17600000,8485040102,1210
UCUL9We-R1aCC3GAe-RvOx5g,33500000,31823981519,2770
UCL0pM5-vrLp3Oy9PXzpqXpA,11500000,11619937351,1355
UC9cpaBjhse6B76HP_gn4Rew,1190000,296445017,309
UCD_8aQNFgk3MxQMt6J0_QVA,5800000,2150784736,806
UCD5dXej6wC856yigcC-HpeA,12400000,8182775605,1518
UCAugBD4C-716-q4vGxzaF2g,11900000,6128622479,1073
UC-e10tRE8eoiAwLlm8BQbIQ,12100000,6285894297,396
UCzY_sIOOHeCobumpqJrjdig,13200000,11984125384,3584
UC85MIJMcZNnhxx84BZMlJgg,4240000,3934134026,673
UC28haopD28ljl7lVEKkw1PA,5770000,1793722270,365
UCVfreboc3AkoV1PQk54lKkg,6150000,2201350817,145
UCH9aPskONv7sraQfL-UDxNQ,8520000,3987721358,690
UC2YEFur8hvU8XDkw74yVOxA,1300000,655998446,104
UCbnbANjBfR4Ab6Z03SuS1kQ,2570000,1280670205,455
UCR1Jltq7vMzGQVtRd-DR5AA,10700000,12438790394,1387
UCu6eDhSb-UJq7_vLgKe4vHw,9350000,5319906451,295
UCMWv9WrCkZJcxzsOWeZfEkg,9080000,6604613503,1196
UCsHMisa0rzfi5xSWLhp2r6A,1010000,453613157,910
UC2fvyma9iKsjN9EZW_FWW1A,35200000,18621337290,474
UC-uAyciaXWWYtIhmLDnG07A,4530000,299400521,214
UCnYKRFQRndE3Wq1eLRQLfWw,12200000,6619871929,1317
UClGcTNKu6bc0NeO0vQenwpw,2950000,970224808,2033
UC2aE9o5CPNK5MaXipSOiBUg,1070000,271972245,86
UCjZQyGJeZv68zMIJOXk0vmA,5420000,4534922789,1106
UCgN55-McINV9y4noG-0QKVg,13100000,10498178784,1490
UCmh5prISlHkcxt19bGVL-Hg,1200000,603457252,309
UCR4ZpFWX29p4YCajQA5fcfQ,1710000,503580118,79
UCxGzpNf5XOnSQOYC2nbMiyQ,18900000,11387335597,1621
UC2KobNU2MO29TXUgI5_syhg,6490000,1744584084,288
UCLLPsMLQiXL7y7r-OVkEGrA,3640000,1169109651,400
UC0qj-8F8p88c3zBStkxC0Gg,3840000,4151831122,1252
UCBhNf3uDB4pFuww29O_wAJQ,6010000,4014559837,770
UCmrOZ0rAZzmwfHSaF1AAEJQ,994000,387879485,525
UCGbHu0bRpEe1w1UhNJYS67A,18000000,11392268229,1123
UCt0d4N2SuZgXQK60PxjGv-A,5150000,3028074931,774
UC8EUFyd21vSqrYXEF6KVHDg,3550000,804987564,790
UCsUGQ3eJjYOv00609MFs1wQ,3250000,2255930275,907
UC2ViPu8EVMP8Eo1Ob7yWEkg,10200000,7892477332,1627
UCmt6ANTxFIZL8XhLprxgJmQ,5100000,2504271970,809
UCWjxOXQaHl4R_pEwFgJgEsw,1610000,587471216,246
UC8FqLpnbxRNpNmDuxNHuHHA,7680000,4123124146,204
UCRLZWPMWyl_8AWgC1W0W6mA,1350000,554593017,471
UCjFpmez1Qh6M8y857-TObeQ,13200000,7565265177,1049
UCt38KUTj72UEdWUdmnZHwOw,9610000,1305216798,291
UCOnIJiQuk1fDSp6p1GCZy3A,60200000,21393602967,2760
UC5k3-qwva5_gxzaDGfqk0pw,15300000,6267687415,511
UCPOyt9Ii791y25bRdoCT8aQ,16400000,11256629497,1624
UCTdvynmLeTfcaqc4k40b-dA,1590000,1674018934,1141
UCSVCI39NFOcUJyaLiCaIF7w,2950000,1493632665,727
UCNcdbMyA59zE-Vk668bKWOg,22800000,22265762605,5404
UCet9FEXim3LTgRYf3I8F5nA,1910000,1347946499,608
UC2a3J_HBc7J7gm8DJc7UUEQ,2290000,1118344765,447
UC3t7_hgqy-7pccSWRVaTQIw,13900000,4485794017,804
UC-v2u0YX-izEXVcs0lAIERQ,1110000,922819786,384
UCWM1mnHfE9-i-3T2eyPgWpg,1960000,966971608,782
UCw78nt8jHZYlRT4HVR6-ZWg,825000,413342854,1607
UCXuxRXMgcmKX2hg-GgQ5vdw,9610000,3142643474,582
UCRWVh0Dv3r1UW4Z3i1nqkMQ,10800000,2680627399,466
UCu1BKTL7zTTdSWZTb-lJM_g,7900000,4615686896,892
UCdk1PtTed5bhyQNvGVwzLZg,8760000,6337232719,1509
UC9SQ0p_HYjX1IDENQe8DAGA,2240000,1106676750,530
UCRIWIquWdo_lquf4xfC4KEw,3670000,2139327804,819
UCOrE-2VgEOJ9LTNLYu5LeEw,15000000,7089547312,1588
UCdpHYrNDvXqreUGPsqfX6jg,176000,62946467,2066
UC4rHBMP2rGPuFk9F-JlGzbQ,22500000,14890056581,2627
UC2bYhAHyaqfWlPXWBVk4BcA,42000000,19414067007,4805
UCkJZQddO3XTCdcLjN019FjA,4300000,3427026088,10037
UC7oT6ExHCW6LeiUSWQejfBQ,1200000,1298104275,376
UCtZO2c3i1PrtwyeaxaIYHKA,1030000,524045684,411
UCQ9f8VBJD7sT2ySq0IDtARA,4180000,2186163975,845
UC-axD-N6aIwswrQ1ee4zlXg,1950000,1541090942,1330
UC_82tbyeBHSaDbL725LMlvw,34000000,15325080278,2964
UCSgVw2iWODCXSlVZA0SO86g,6520000,4335581426,694
UCARTj7J82NQE5Y5F0TzmbQg,878000,1053968835,1961
UC5JF4jPACfKYgFaHstgREGQ,2910000,2337795835,743
UCt85BA_hmXl2hz6fbYCKMKQ,6280000,3545529872,577
UC62I7OqmuNr1VFhesP6ak9A,3440000,2334641323,1004
UCLHsaB11MF0reXL02JKnLPg,1260000,1247835266,1014
UCRSLeYO3BOhRAYz0vLfVSWw,7410000,1399622015,228
UC73sF-7Ihcs1HpnXEEXZ2ew,8720000,8619691695,4032
UCnEIpAZAT4U4wtL7fEFN2sw,1590000,1100592749,1586
UCjRSLHUvYPFhvHYvBCFmcrw,774000,1223754486,1321
UCEOEwGcv5nbL7cRvVnqeKGQ,1040000,357380566,1857
UCAOEXty8JNYU2xOyKSi0PwQ,1580000,1243414377,1059
UCKLbzfmjFv_oalDX8sHxhkQ,29700000,24753832908,7073
UCzVjHe5tfriHKxKxQk7EYIw,38200,21426323,275
UCZPVgnevTPCymfVfLX_QzAw,1600000,1712863430,1383
UCW5CtZ5X9bKA24DabVeSYjw,1050000,554642822,330
UC5v6DJyUvE-CeouxceXQ8bA,3620000,2751275280,1116
UCNXPgLPZYwlOPBYJ78Elv0Q,968000,1013578819,596
UCsyBga6NxnV7M3PX5zm-cAQ,13200000,9378134583,1375
UCj3eT48w7oJU0sGbxkX0FfQ,2220000,2103789523,1061
UCKC1_jCahDmaoCr3bgZDxsw,326000,172517480,68
UCRIUK48zBEPalrjRsmdBQ6A,6910000,1480038575,188
UCSmg4PgB6jwumu0T7TwaKmg,2520000,2352670427,357
UCFnab77h4bEm5Z51bP1KT8w,1940000,1200951150,278
UCNpc6BMk8peBkPMmMZgorQg,2220000,1338038370,894
UCw5laSluKZol8QuE1fOToTQ,30300000,25246390954,5366
UCTGOuh9b_Su2k5xEARHCQQA,16400000,3062361670,2264
UCSf0s2ogUVYpJPuzW1zpAOg,40800000,38701787136,10496
UCPKZ8NsUm96HK-5bpCgVl6w,672000,743851178,253
UCicv75Se8iS6otnQJ_4Pa_A,14200000,9094682830,10321
UCjCAsmk4Zev04xh_VpYl6kg,4680000,3659103839,1027
UCcxb3AV6qMB9Htfqyc_eIlQ,1560000,766303558,1139
UCZLOlM5df0CXW9bP5MAeE7A,21400000,14194952560,1182
UC5LGPvoUOfwcLi4Ck8LiR4A,12400000,3545818716,1283
UCZsohghaolvqquHtIUJBqjg,4380000,3414241207,1621
UCoCx2CX_Vrv1-0ZXuJMIMNw,972000,65977787,1035
UCj_LC4oQW2nEr9X4XPs2uFw,4220000,1358176178,704
UCY518KnBu6TLuPtYd2isfDw,81000,38653150,608
UCg7WjuuH8yv5IthZV_mfWSQ,3470000,2037011621,734
UCW3GaQCtV-xqTjqHgy8lKjw,280000,114256503,792
UCdR_Myj8gkEC1K5bVlLQ_dQ,3700000,1444571585,697
UCVX8CkXUBX0NbtEyjAubJNQ,9350000,9479122536,1111
UC48C8h8JNXW1XyhVzXlDLjA,468000,300542580,620
UCcisSJctjo_jxKgyyVJIyEw,1590000,784659564,296
UCGc_UsstlIt3E3XuyJxGH4w,3250000,2144756165,1046
UCotq9MFP4JB4d4b3tUY9QaQ,4250000,2493212675,1168
UCWBf_sbrlRFb0PgSPC3mXNA,181000,55061162,199
UC_oFAJ3Xha1_mZENuR1Vj9Q,3410000,3690842715,4099
UC5_5Rq-kbDGq_RcDTUDeS5g,2990000,3056172298,1134
UCDqrqD-26_ZZ97DamKOyOuw,69700,24854100,1892
UCk0wP3o4Lx35mShOj2WYVoQ,3680000,1725152446,447
UCi3SR4l-4eX54WYyheuSkXw,5270000,3310212705,960
UCXuGuDh4pT0d-NuX0VSsNfQ,236000,124241879,392
UCOOUuwm1HQ7CNlx25JxUm3A,3560000,2039136751,1621
UClu8wYqI1HvMPbDyeIQrC_w,7010000,8294567599,2558
UCm3hAp1m1xlAz0ve_EKAo4g,32500000,16855036674,773
UCpB_Rt4GwuGnGr6yPISWd1A,624000,269505759,513
UCiiGmRSMKwrf7PbVYpTj6CA,47900,18343927,307
UCDHlLG5fmSpekFa4ayM9zmA,610000,497221324,291
UCPpu7qeRDxAI-VmqB0iR_vg,962000,662920469,3264
UCaqtjuntgCx8NFXulIa_O_A,505000,378336783,153
